dep-left-nsubjpass-deps,dep-left-:-tags,dep-left-jjr-tags,dep-right-nnps-tags,concatenated-types,dep-right-advmod-deps,dep-right-appos-deps,dep-left-conj-deps,dep-right-punct-deps,dep-right-nsubjpass-deps,dep-right-dobj-deps,dep-right-advcl-deps,dep-right-rb-tags,dep-right-nn-tags,head-tag,dep-left-dist,dep-left-acomp-deps,dep-right-csubj-deps,dep-left-nnps-tags,dep-right-vbg-tags,dep-left-csubj-deps,dep-left-jjs-tags,dep-left-dative-deps,dep-left-attr-deps,dep-left-advmod-deps,dep-right-vbd-tags,dep-right-:-tags,dep-right-pobj-deps,dep-right-vbn-tags,dep-left-pobj-deps,"dep-left-,-tags",dep-left-poss-deps,dep-left-nsubj-deps,dep-left-prep-deps,dep-left-relcl-deps,dep-right-''-tags,dep-left-ccomp-deps,dep-right-dep-deps,dep-left-punct-deps,dep-left-vbz-tags,ent1-dep,dep-right-vb-tags,dep-left-npadvmod-deps,dep-right-vbz-tags,dep-dist,dep-right-ccomp-deps,dep-left-jj-tags,dep-right-parataxis-deps,dep-right-oprd-deps,"dep-right-,-tags",dep-left-prp-tags,dep-right-md-tags,dep-left-pcomp-deps,dep-right-jj-tags,dep-right-dt-tags,dep-right-agent-deps,ent2-dep,dep-right-xcomp-deps,dep-right-dist,dep-right-npadvmod-deps,dep-left-rb-tags,dep-left-nn-tags,ent2-type,dep-left-det-deps,dep-left-dep-deps,dep-right-nnp-tags,id,dep-left-vbp-tags,dep-right-``-tags,dep-left-vbn-tags,dep-right-pcomp-deps,dep-left-vbg-tags,dep-right-acomp-deps,dep-right-jjs-tags,dep-right-relcl-deps,dep-left-compound-deps,dep-right-poss-deps,dep-left-parataxis-deps,dep-right-in-tags,dep-right-acl-deps,dep-right-nns-tags,dep-right-cd-tags,dep-left-advcl-deps,dep-left-cd-tags,label,dep-left-``-tags,dep-right-attr-deps,dep-right-conj-deps,dep-left-dt-tags,dep-left-xcomp-deps,dep-left-nns-tags,dep-right-nsubj-deps,dep-left-in-tags,dep-left-intj-deps,dep-right-prep-deps,dep-left-oprd-deps,dep-left-amod-deps,dep-left-appos-deps,ent1,dep-right-det-deps,dep-left-vbd-tags,dep-right-nummod-deps,ent2,dep-left-dobj-deps,dep-right-nmod-deps,dep-left-vb-tags,dep-right-compound-deps,dep-right-vbp-tags,dep-left-nnp-tags,sent,dep-left-acl-deps,ent1-type,dep-right-intj-deps,dep-left-agent-deps,dep-left-md-tags,dep-left-nmod-deps 
,,,,DATEORG,,,,,,,,,,VERB,1,,,,,,,,,,,,,,,,,1,,,,,,,,npadvmod,,,,3,,,,,,,,,,,,nsubj,,1,1,,,ORG,,,1,802,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,,Thursday,,,,The National Aeronautics and Space Administration,,,,,,1,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,DATE,,,,
1,,,,ORGORG,,,,,,,,,,VERB,2,,,,,,,,,,,,,,,,,,,,,1,,,,nsubj,,,,4,,,,,,,,,,,,nsubjpass,,1,,,,ORG,,,1,802,,,1,,,,,,,,,,,,,,,NON,,,,,,,1,,,,,,,The National Aeronautics and Space Administration,,,,Ulf D. Merbold,,,,,,1,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,ORG,,,,
,,,,ORGORG,,,,,1,,,,,VERB,1,,,,,,,,,,,,,1,,,,1,,,,,,,,nsubjpass,,,,4,1,,,,,,,,,,,nsubj,,2,,,,ORG,,,1,802,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,,Ulf D. Merbold,,,,The National Aeronautics and Space Administration,,,,,,1,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,ORG,,,,
,,,,DATEORG,,1,,,1,,,,,VERB,1,,,,,,,,,,,,,1,,,,1,,,,,,,,appos,,,,5,1,,,,,,,,,,,nsubj,,3,,,,ORG,,,1,802,,,,,,,,,,,,,,,1,,,NON,,,,,,,,,,,,,,47,,,,The National Aeronautics and Space Administration,,,,,,1,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,DATE,,,,
1,,,,ORGORG,,,,,,,,,,VERB,4,,,,,,,,,,,,,,1,,,,1,,,1,,,,nsubj,,,,6,,,,,,,,,,,,pobj,,1,,,,ORG,,,1,802,,,1,,,,,,,,,,,,,,,NON,,,,,,,1,1,,,,,,The National Aeronautics and Space Administration,,,,the European Space Agency,,,,,,2,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,ORG,,,,
,,,,ORGORG,,,,,1,,,,,VERB,1,,,,,,,,,,,,1,1,,,,1,,,,,,,,pobj,,,,6,1,,,,,,,,,,,nsubj,,4,,,,ORG,,,2,802,,,,,,,,,,,,1,,,,,,NON,,,,,,,,,,1,,,,the European Space Agency,,,,The National Aeronautics and Space Administration,,,,,,1,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,ORG,,,,
,,,,PERSONORG,,,,,1,,,,,VERB,1,,,,,,,,,,,,1,1,,,,1,,,,,,,,conj,,,,7,1,,,,,,,,,,,nsubj,,5,,,,ORG,,,3,802,,,,,,,,,,,,1,,,,,,WRK,,,1,,,,,,,1,,,,Roger K. Crouch,,,,The National Aeronautics and Space Administration,,,,,,1,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,PERSON,,,,
1,,,,ORGORG,,,1,,,,,,,VERB,7,,,,,,,,,,,,,,2,,,,2,,,1,,,,nsubj,,,,9,,,,,,,,,,,,pobj,,1,,,,ORG,,,1,802,,,1,,,,,,,,,,,,,,,NON,,,,,,,1,2,,,,,,The National Aeronautics and Space Administration,,,,NASA,,,,,,4,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,ORG,,,,
,,,,ORGORG,,,,,1,,,,,VERB,1,,,,,,,,,,,,2,1,,,,1,,,,,,,,pobj,,,,9,1,,,,,,,,,,,nsubj,,7,,,,ORG,,,4,802,,,,,,,,,,,,2,,,,,,NON,,,1,,,,,,,2,,,,NASA,,,,The National Aeronautics and Space Administration,,,,,,1,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,ORG,,,,
,,,,DATEORG,,,,,,1,,,1,VERB,1,,,,,,,,,,,,2,2,,,,1,,,,,,,,pobj,2,,,11,1,,,,,,,,,,,nsubj,2,9,,,,ORG,,,1,802,,,,,,,,,,,,2,1,1,,,,NON,,,,,,,,,,2,,,,April 1991,,,,The National Aeronautics and Space Administration,,,,,,1,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,DATE,,,,
1,,,,DATEORG,,,,,,,,,,VERB,2,,,,,,,,,,,,,,,,,,,,,1,,,,npadvmod,,,,4,,,,,,,,,,,,nsubjpass,,1,1,,,ORG,,,1,802,,,1,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,,Thursday,,,,Ulf D. Merbold,,,,,,1,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,DATE,,,,
1,,,,DATEORG,,,,,,,,,,VERB,4,,,,,,,,,,,,,,1,,,,1,,,1,,,,npadvmod,,,,6,,,,,,,,,,,,pobj,,1,1,,,ORG,,,1,802,,,1,,,,,,,,,,,,,,,NON,,,,,,,,1,,,,,,Thursday,,,,the European Space Agency,,,,,,2,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,DATE,,,,
1,,,,DATEORG,,,1,,,,,,,VERB,7,,,,,,,,,,,,,,2,,,,2,,,1,,,,npadvmod,,,,9,,,,,,,,,,,,pobj,,1,1,,,ORG,,,1,802,,,1,,,,,,,,,,,,,,,NON,,,,,,,,2,,,,,,Thursday,,,,NASA,,,,,,4,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,DATE,,,,
,,,,DATEORG,,1,,,,,,,,PROPN,0,,,,,,,,,,,,,,,,,,,,,,,,,appos,,,,2,,,,,,,,,,,,nsubjpass,,1,,,,ORG,,,,802,,,,,,,,,,,,,,,1,,,NON,,,,,,,,,,,,,,47,,,,Ulf D. Merbold,,,,,,,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,DATE,,,,
,,,,ORGORG,,,,,,,,,,PROPN,2,,,,,,,,,,,,,,1,,,,1,,,,,,,nsubjpass,,,,3,,,,,,,,,,,,pobj,,0,,,,ORG,,,,802,,,,,,,,,,,,,,,,,,WRK,,,,,,,,1,,,,,,Ulf D. Merbold,,,,the European Space Agency,,,,,,1,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,ORG,,,,
,,,,ORGORG,,,,,,,,,,PROPN,0,,,,,,,,,,,,1,,,,,,,,,,,,,pobj,,,,3,,,,,,,,,,,,nsubjpass,,2,,,,ORG,,,1,802,,,,,,,,,,,,1,,,,,,NON,,,,,,,,,,1,,,,the European Space Agency,,,,Ulf D. Merbold,,,,,,,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,ORG,,,,
,,,,PERSONORG,,,,,,,,,,PROPN,0,,,,,,,,,,,,1,,,,,,,,,,,,,conj,,,,4,,,,,,,,,,,,nsubjpass,,3,,,,ORG,,,2,802,,,,,,,,,,,,1,,,,,,NON,,,1,,,,,,,1,,,,Roger K. Crouch,,,,Ulf D. Merbold,,,,,,,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,PERSON,,,,
,,,,ORGORG,,,1,,,,,,,PROPN,5,,,,,,,,,,,,,,2,,,,2,,,,,,,nsubjpass,,,,6,,,,,,,,,,,,pobj,,0,,,,ORG,,,,802,,,,,,,,,,,,,,,,,,NON,,,,,,,,2,,,,,,Ulf D. Merbold,,,,NASA,,,,,,3,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,ORG,,,,
,,,,ORGORG,,,,,,,,,,PROPN,0,,,,,,,,,,,,2,,,,,,,,,,,,,pobj,,,,6,,,,,,,,,,,,nsubjpass,,5,,,,ORG,,,3,802,,,,,,,,,,,,2,,,,,,NON,,,1,,,,,,,2,,,,NASA,,,,Ulf D. Merbold,,,,,,,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,ORG,,,,
1,,,,DATEORG,,,,,,1,,,1,VERB,1,,,,,,,,,,,,2,1,,,,,,,,,,,,pobj,2,,,10,,,,,,,,,,,,nsubjpass,2,8,,,,ORG,,,1,802,,,,,,,,,,,,2,1,1,,,,NON,,,,,,,,,,2,,,,April 1991,,,,Ulf D. Merbold,,,,,,1,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,DATE,,,,
,,,,DATEORG,,1,,,,,,,,PROPN,2,,,,,,,,,,,,,,1,,,,1,,,,,,,appos,,,,4,,,,,,,,,,,,pobj,,1,,,,ORG,,,,802,,,,,,,,,,,,,,,1,,,NON,,,,,,,,1,,,,,,47,,,,the European Space Agency,,,,,,1,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,DATE,,,,
,,,,DATEORG,,1,1,,,,,,,PROPN,5,,,,,,,,,,,,,,2,,,,2,,,,,,,appos,,,,7,,,,,,,,,,,,pobj,,1,,,,ORG,,,,802,,,,,,,,,,,,,,,1,,,NON,,,,,,,,2,,,,,,47,,,,NASA,,,,,,3,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,DATE,,,,
,,,,PERSONORG,,,,,,,,,,PROPN,0,,,,,,,,,,,,,,,,,,,,,,,,,conj,,,,2,,,,,,,,,,,,pobj,,1,,,,ORG,,,1,802,,,,,,,,,,,,,,,,,,NON,,,1,,,,,,,,,,,Roger K. Crouch,,,,the European Space Agency,,,,,,,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,PERSON,,,,
,,,,ORGORG,,,1,,,,,,,PROPN,3,,,,,,,,,,,,,,1,,,,1,,,,,,,pobj,,,,4,,,,,,,,,,,,pobj,,0,,,,ORG,,,,802,,,,,,,,,,,,,,,,,,NON,,,,,,,,1,,,,,,the European Space Agency,,,,NASA,,,,,,2,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,ORG,,,,
,,,,ORGORG,,,,,,,,,,PROPN,0,,,,,,,,,,,,1,,,,,,,,,,,,,pobj,,,,4,,,,,,,,,,,,pobj,,3,,,,ORG,,,2,802,,,,,,,,,,,,1,,,,,,NON,,,1,,,,,,,1,,,,NASA,,,,the European Space Agency,,,,,,,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,ORG,,,,
1,,,,DATEORG,,,,,,1,,,1,VERB,3,,,,,,,,,,,,2,1,1,,,,1,,,,,,,pobj,2,,,12,,,,,,,,,,,,pobj,2,8,,,,ORG,,,1,802,,,,,,,,,,,,2,1,1,,,,NON,,,,,,,,1,,2,,,,April 1991,,,,the European Space Agency,,,,,,2,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,DATE,,,,
,,,,PERSONORG,,,,,,,,,,PROPN,2,,,,,,,,,,,,,,1,,,,1,,,,,,,conj,,,,3,,,,,,,,,,,,pobj,,0,,,,ORG,,,,802,,,,,,,,,,,,,,,,,,WRK,,,,,,,,1,,,,,,Roger K. Crouch,,,,NASA,,,,,,1,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,PERSON,,,,
1,,,,DATEORG,,,1,,,1,,,1,VERB,6,,,,,,,,,,,,2,1,2,,,,2,,,,,,,pobj,2,,,15,,,,,,,,,,,,pobj,2,8,,,,ORG,,,1,802,,,,,,,,,,,,2,1,1,,,,NON,,,,,,,,2,,2,,,,April 1991,,,,NASA,,,,,,4,"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .",,DATE,,,,
,,,,ORGGPE,,,,,,,,,,VERB,5,,,,,,,,,,,,,,1,,,,1,,,1,,,,nsubj,,,,7,,,,,,,,,,,,compound,,1,,,1,GPE,,,1,806,,,,,,,,,1,,,,,,,,,NON,,,,,,1,1,1,,,,,,NASA,,,,U.S.,1,,1,,,1,"In addition to the specialists , NASA said the mission crew will include five members of the U.S. astronaut corps .",,ORG,,,,
,,,,GPEGPE,,,,,,,,,,PROPN,1,,,,,,,,,,,,,,,,,,,,,,,,,pobj,,,,2,,,,,,,,,,,,appos,,0,,,,GPE,,,,811,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,1,Benton,,,,Tenn.,,,,,,1,"He graduated from high school from Benton , Tenn. and from Tennessee Tech in Cookville , and holds a doctorate in physics from Virginia Tech .",,GPE,,,,
,,,,GPEGPE,,1,,,,,,,,PROPN,0,,,,,,,,,,,,,,,,,,,,,,,,,appos,,,,2,,,,,,,,,,,,pobj,,1,,,,GPE,,,1,811,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,,Tenn.,,,,Benton,,,,,,,"He graduated from high school from Benton , Tenn. and from Tennessee Tech in Cookville , and holds a doctorate in physics from Virginia Tech .",,GPE,,,,
,,,,ORGGPE,,,,,,,,,,ADP,1,,,,,,,,,,,,1,,1,,,,,,,,,,,pobj,,,,4,,,,,,,,,,,,pobj,,2,,,,GPE,,,1,811,,,,,,,,,,,,1,,,,,,NON,,,1,,,,,,,,,,,Tennessee Tech,,,,Benton,,,,,,1,"He graduated from high school from Benton , Tenn. and from Tennessee Tech in Cookville , and holds a doctorate in physics from Virginia Tech .",,ORG,,,,
,,,,GPEGPE,,,1,,,,,,,ADP,4,,,,,,,,,,,,1,,2,,,,1,,,,,,,pobj,,,,6,,,,,,,,,,,,pobj,,1,,,,GPE,,,1,811,,,,,,,,,,,,,,,,,,NON,,,,,,,,2,,,,,,Benton,,,,Cookville,,,,,,2,"He graduated from high school from Benton , Tenn. and from Tennessee Tech in Cookville , and holds a doctorate in physics from Virginia Tech .",,GPE,,,,
,,,,GPEGPE,,,,,,,,,,ADP,1,,,,,,,,,,,,2,,1,,,,,,,,,,,pobj,,,,6,,,,,,,,,,,,pobj,,4,,,,GPE,,,2,811,,,,,,,,,,,,2,,,,,,NON,,,1,,,,,,,1,,,,Cookville,,,,Benton,,,,,,1,"He graduated from high school from Benton , Tenn. and from Tennessee Tech in Cookville , and holds a doctorate in physics from Virginia Tech .",,GPE,,,,
,,,,ORGGPE,,,,,,,,,,VERB,2,,,,,,,,,,,,1,,1,,,,1,,,,,,,pobj,,,1,6,,,,,,,,,,,,pobj,,3,,,,GPE,,,1,811,,,,,,,,,,,,1,,,,,,NON,,,1,,,,,1,,1,,,,Virginia Tech,,,,Benton,,,,,,1,"He graduated from high school from Benton , Tenn. and from Tennessee Tech in Cookville , and holds a doctorate in physics from Virginia Tech .",,ORG,,,,
,,,,ORGGPE,,,,,,,,,,ADP,2,,,,,,,,,,,,1,,1,,,,,,,,,,,pobj,,,,5,,,,,,,,,,,,appos,,2,,,,GPE,,,1,811,,,,,,,,,,,,1,,,,,,NON,,,1,,,,,,,,,,1,Tennessee Tech,,,,Tenn.,,,,,,2,"He graduated from high school from Benton , Tenn. and from Tennessee Tech in Cookville , and holds a doctorate in physics from Virginia Tech .",,ORG,,,,
,,,,GPEGPE,,1,1,,,,,,,ADP,4,,,,,,,,,,,,1,,2,,,,1,,,,,,,appos,,,,7,,,,,,,,,,,,pobj,,2,,,,GPE,,,2,811,,,,,,,,,,,,,,,,,,NON,,,,,,,,2,,,,,,Tenn.,,,,Cookville,,,,,,2,"He graduated from high school from Benton , Tenn. and from Tennessee Tech in Cookville , and holds a doctorate in physics from Virginia Tech .",,GPE,,,,
,,,,GPEGPE,,,,,,,,,,ADP,2,,,,,,,,,,,,2,,1,,,,,,,,,,,pobj,,,,7,,,,,,,,,,,,appos,,4,,,,GPE,,,2,811,,,,,,,,,,,,2,,,,,,NON,,,1,,,,,,,1,,,1,Cookville,,,,Tenn.,,,,,,2,"He graduated from high school from Benton , Tenn. and from Tennessee Tech in Cookville , and holds a doctorate in physics from Virginia Tech .",,GPE,,,,
,,,,ORGGPE,,,,,,,,,,VERB,3,,,,,,,,,,,,1,,1,,,,1,,,,,,,pobj,,,1,7,,,,,,,,,,,,appos,,3,,,,GPE,,,1,811,,,,,,,,,,,,1,,,,,,NON,,,1,,,,,1,,1,,,1,Virginia Tech,,,,Tenn.,,,,,,2,"He graduated from high school from Benton , Tenn. and from Tennessee Tech in Cookville , and holds a doctorate in physics from Virginia Tech .",,ORG,,,,
,,,,ORGGPE,,,,,,,,,,PROPN,2,,,,,,,,,,,,,,1,,,,1,,,,,,,pobj,,,,3,,,,,,,,,,,,pobj,,0,,,,GPE,,,,811,,,,,,,,,,,,,,,,,,NON,,,,,,,,1,,,,,,Tennessee Tech,,,,Cookville,,,,,,1,"He graduated from high school from Benton , Tenn. and from Tennessee Tech in Cookville , and holds a doctorate in physics from Virginia Tech .",,ORG,,,,
,,,,ORGORG,,,1,,,,,,,VERB,3,,,,,,,,,,,,1,,1,,,,1,,,,,,1,pobj,,,,7,,,,,,,,,,,,pobj,,3,,,,ORG,,,1,811,,,,,,,,,,,,2,,,,,,NON,,,1,,,,,1,,1,,,,Tennessee Tech,,,,Virginia Tech,,,,,,1,"He graduated from high school from Benton , Tenn. and from Tennessee Tech in Cookville , and holds a doctorate in physics from Virginia Tech .",,ORG,,,,
,,,,ORGORG,,,1,,,,,,,VERB,3,,,,,,,,,,,,1,,1,,,,1,,,,,,,pobj,,,1,7,,,,,,,,,,,,pobj,,3,,,,ORG,,,1,811,,,,,,,,,,,,1,,,,,,NON,,,1,,,,,2,,1,,,,Virginia Tech,,,,Tennessee Tech,,,,,,1,"He graduated from high school from Benton , Tenn. and from Tennessee Tech in Cookville , and holds a doctorate in physics from Virginia Tech .",,ORG,,,,
,,,,ORGGPE,,,1,,,,,,,VERB,5,,,,,,,,,,,,1,,2,,,,2,,,,,,,pobj,,,1,9,,,,,,,,,,,,pobj,,3,,,,GPE,,,1,811,,,,,,,,,,,,1,,,,,,NON,,,1,,,,,3,,1,,,,Virginia Tech,,,,Cookville,,,,,,2,"He graduated from high school from Benton , Tenn. and from Tennessee Tech in Cookville , and holds a doctorate in physics from Virginia Tech .",,ORG,,,,
,,,,PERSONORG,,,,,,,,,,PROPN,2,,,,,,,,,,,,,,1,,,,1,,,,,,,nsubj,,,,3,,,,,,,,,,,,pobj,,0,,,,ORG,,,,816,,,,,,,,,,,,,,,,,,WRK,,,,,,,,1,,,,,,Dominique Beuff,,,,the International Committee of the Red Cross,,,,,,1,Dominique Beuff of the International Committee of the Red Cross in Khartoum said he had reports of people dying at the rate of up to four a day in some areas of the south affected by a 5-year-old civil war .,,PERSON,,,,
,,,,PERSONGPE,,,,,,,,,,PROPN,4,,,,,,,,,,,,,,2,,,,2,,,,,,,nsubj,,,,5,,,,,,,,,,,,pobj,,0,,,,GPE,,,,816,,,,,,,,,,,,,,,,,,LIV,,,,,,,,2,,,,,,Dominique Beuff,,,,Khartoum,,,,,,2,Dominique Beuff of the International Committee of the Red Cross in Khartoum said he had reports of people dying at the rate of up to four a day in some areas of the south affected by a 5-year-old civil war .,,PERSON,,,,
,,,,ORGGPE,,,,,,,,,,PROPN,2,,,,,,,,,,,,,,1,,,,1,,,,,,,pobj,,,,3,,,,,,,,,,,,pobj,,0,,,,GPE,,,,816,,,,,,,,,,,,,,,,,,NON,,,,,,,,1,,,,,,the International Committee of the Red Cross,,,,Khartoum,,,,,,1,Dominique Beuff of the International Committee of the Red Cross in Khartoum said he had reports of people dying at the rate of up to four a day in some areas of the south affected by a 5-year-old civil war .,,ORG,,,,
,,,,PERSONLOC,,,,,,,,,,PROPN,4,,,,,,,,,,,,,,1,,,,1,,,,,,,nsubj,,,,5,,,,,,,,,,,,compound,,0,,,2,LOC,,,,817,,,,,,,,,1,,,,,,,,,NON,,,,,,,,1,,,,,1,Reith Chuol,,,,Upper Nile,,,,,,1,"Reith Chuol , governor of the Upper Nile region , told reporters there were unconfirmed reports of 15 people dying there every day .",,PERSON,,,,
,,,,PERSONPERSON,,,,,,,,,,PROPN,5,,,,,,,,,,,,,,2,,,,2,1,,,,,,nsubj,,,,6,,,,,,,,,,,,pobj,,0,,,1,PERSON,,,,830,,,,,,,,,,,,,,,,,,NON,,,,,,,,2,,,,,,Abrams,,,,Bush,,,1,,,1,"` ` These are the tactics of a marginalized force driven to extremes by desperation , ' ' said Abrams , whose 3 -LCB- -year service as head of the Latin America bureau will end next week with the inauguration of President-elect Bush .",,PERSON,,,,
,,,,PERSONPERSON,,,,,,,,,1,PROPN,0,,,,,,,,,,,,2,,,,,,,,,,,,,pobj,1,,,6,,,,,,,,,,,,nsubj,,5,,,,PERSON,,,1,830,,,,,,,,1,,,,2,,,,,,NON,,,,,,,,,,2,,,,Bush,,,,Abrams,,,,,,,"` ` These are the tactics of a marginalized force driven to extremes by desperation , ' ' said Abrams , whose 3 -LCB- -year service as head of the Latin America bureau will end next week with the inauguration of President-elect Bush .",,PERSON,,,,
,,,,PERSONGPE,,,,,,,,,,NOUN,2,,,,,,,,,,,,,,1,,,,1,,,,,,,poss,,,,4,,,,,,,,,,,,pobj,,1,,,,GPE,,,1,843,,,,,,,,,,1,,,,,,,,LIV,,,,,,,,1,,,,,,Parks,,,,Montgomery,,,,,,1,"King rose to prominence after Mrs. Parks ' action in December 1955 in Montgomery , Ala. , set the stage for a boycott and subsequent demonstrations that caught the nation by surprise .",,PERSON,,,,
,,,,PERSONGPE,,,,,,,,,,NOUN,3,,,,,,,,,,,,,,1,,,,1,,,,,,,poss,,,,5,,,,,,,,,,,,appos,,1,,,,GPE,,,1,843,,,,,,,,,,1,,,,,,,,LIV,,,,,,,,1,,,,,1,Parks,,,,Ala.,,,,,,2,"King rose to prominence after Mrs. Parks ' action in December 1955 in Montgomery , Ala. , set the stage for a boycott and subsequent demonstrations that caught the nation by surprise .",,PERSON,,,,
