dep-left-xcomp-deps,dep-right-vbp-tags,dep-left-md-tags,dep-right-jjs-tags,dep-left-conj-deps,ent2,dep-right-vb-tags,dep-left-vb-tags,dep-left-dep-deps,dep-left-relcl-deps,dep-left-cd-tags,ent1-type,dep-left-det-deps,dep-right-vbz-tags,dep-left-vbd-tags,dep-left-parataxis-deps,label,dep-right-punct-deps,dep-left-npadvmod-deps,dep-left-compound-deps,dep-right-agent-deps,dep-right-intj-deps,dep-left-pobj-deps,dep-dist,head-tag,dep-left-dist,dep-left-vbg-tags,ent1-dep,dep-right-rb-tags,dep-left-nsubjpass-deps,dep-left-``-tags,dep-right-appos-deps,dep-right-npadvmod-deps,dep-right-oprd-deps,dep-right-xcomp-deps,dep-right-nns-tags,dep-right-''-tags,dep-right-vbg-tags,dep-right-nmod-deps,dep-right-nnp-tags,dep-left-dt-tags,dep-right-det-deps,dep-left-acl-deps,dep-right-prep-deps,dep-right-conj-deps,dep-left-vbn-tags,dep-right-nsubjpass-deps,dep-right-poss-deps,dep-right-advmod-deps,dep-right-advcl-deps,dep-left-jjs-tags,dep-left-poss-deps,dep-left-nnps-tags,dep-left-pcomp-deps,dep-right-md-tags,dep-left-nnp-tags,dep-right-cd-tags,dep-right-dt-tags,sent,dep-right-in-tags,dep-left-attr-deps,dep-left-advcl-deps,dep-left-jj-tags,dep-left-amod-deps,dep-left-nsubj-deps,dep-right-acomp-deps,ent2-type,dep-left-:-tags,dep-right-ccomp-deps,dep-right-dep-deps,dep-left-vbz-tags,dep-left-prp-tags,dep-right-attr-deps,dep-right-jj-tags,dep-right-nn-tags,dep-right-vbd-tags,dep-left-dative-deps,concatenated-types,dep-left-csubj-deps,dep-left-rb-tags,dep-left-acomp-deps,"dep-left-,-tags",dep-right-dobj-deps,dep-left-dobj-deps,dep-left-intj-deps,dep-left-appos-deps,dep-right-nummod-deps,dep-right-relcl-deps,dep-right-nnps-tags,dep-right-pobj-deps,dep-left-ccomp-deps,dep-left-vbp-tags,ent1,dep-left-in-tags,"dep-right-,-tags",dep-left-jjr-tags,dep-left-prep-deps,dep-right-vbn-tags,dep-right-:-tags,dep-right-parataxis-deps,ent2-dep,dep-left-agent-deps,dep-right-dist,dep-right-csubj-deps,dep-right-``-tags,dep-right-nsubj-deps,dep-left-oprd-deps,dep-left-advmod-deps,dep-right-pcomp-deps,dep-left-nmod-deps,id,dep-left-nn-tags,dep-left-nns-tags,dep-right-compound-deps,dep-right-acl-deps,dep-left-punct-deps 
,,,1,,Chicago,,,,,,GPE,,,,,NON,,,,,,1,11,NOUN,3,,compound,,,,,,,,,,,,3,,,,2,,,,,,,,1,,,,1,,,"There are even hopeful signs in Chicago 's schools , branded 14 months ago as the nation 's worst by U.S. Secretary William J. Bennett .",2,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,2,,,U.S.,1,,,1,1,,,poss,,7,,,,,,,,1131,,1,2,1,
,,,1,,Chicago,,,,,,PERSON,,,,,NON,,,,,,1,9,NOUN,3,,pobj,,,,,,,,,,,,1,,,,2,,,,,,,,1,,,,1,,,"There are even hopeful signs in Chicago 's schools , branded 14 months ago as the nation 's worst by U.S. Secretary William J. Bennett .",2,,,,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,2,,,William J. Bennett,1,,,1,1,,,poss,,5,,,,,,,,1131,,1,,1,
,,,,,U.S.,,,,,,PERSON,,,,,LIV,,,2,,,,3,PROPN,2,,pobj,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"There are even hopeful signs in Chicago 's schools , branded 14 months ago as the nation 's worst by U.S. Secretary William J. Bennett .",,,,,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,,,,William J. Bennett,,,,,,,,compound,,0,,,,,,,,1131,,,,,
,,,,,Illinois,,,,,,PERSON,,,,,LIV,,,2,,,,3,PROPN,2,,nsubj,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"Illinois Gov. James Thompson signed legislation last month scrapping Chicago 's central school board next July , to be replaced by parent-run councils empowered to set budgets and hire and fire principals .",,,,,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,,,,James Thompson,,,,,,,,compound,,0,,,,,,,,1132,,,,,
,,,,,Chicago,,,,,,GPE,,,,,NON,,,,,,,7,VERB,3,1,compound,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,1,,,"Illinois Gov. James Thompson signed legislation last month scrapping Chicago 's central school board next July , to be replaced by parent-run councils empowered to set budgets and hire and fire principals .",,,1,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,1,,,,,,,,,Illinois,,,,,,,,poss,,3,,,1,,,,,1132,1,,2,,
,,,,,Illinois,,,,,,GPE,,,,,NON,,,2,,,,7,VERB,3,,poss,,,,,,,,,,1,,1,,,,,,,,1,,1,,,,,,3,,,"Illinois Gov. James Thompson signed legislation last month scrapping Chicago 's central school board next July , to be replaced by parent-run councils empowered to set budgets and hire and fire principals .",,,,,,1,,GPE,,,,,,,,1,,,GPEGPE,,,,,1,,,,,,,,,,Chicago,,,,,,,,compound,,3,,,,,,,,1132,,,,,
,,,,,Chicago,,,,,,PERSON,,,,,NON,,,,,,,5,VERB,3,1,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,"Illinois Gov. James Thompson signed legislation last month scrapping Chicago 's central school board next July , to be replaced by parent-run councils empowered to set budgets and hire and fire principals .",,,1,,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,1,,,,,,,,,James Thompson,,,,,,,,poss,,1,,,1,,,,,1132,1,,,,
,,,,,Rochester,,,,,,PERSON,,,,,LIV,,,4,,,,5,PROPN,4,,nsubj,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,As Rochester teacher union leader Adam Urbanski put it : ` ` We have set the table ; we have not served the meal yet. ' ',,,,,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,,,,Adam Urbanski,,,,,,,,compound,,0,,,,,,,,1134,3,,,,
,,,,,the Council of Great City Schools,,,,,,PERSON,,,,,WRK,,,,,,1,4,PROPN,3,,nsubj,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Relative size and the power of the purse are certainly key factors , says Samuel L. Husk , executive director of the Council of Great City Schools .",,,,,,,,ORG,,,,,,,,,,,PERSONORG,,,,,,,,1,,,,,,,Samuel L. Husk,1,,,1,,,,pobj,,0,,,,,,,,1140,1,,,,
,,,,1,the Carnegie Foundation,,,,,,PERSON,,,,,NON,,,,,,2,7,PROPN,6,,nsubj,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"It 's a political problem , ' ' said Ernest L. Boyer , a national spokesman for reform and president of the Carnegie Foundation for the Advancement of Teaching , which has produced several reports on urban school problems .",,,,,,,,ORG,,,,,,,,,,,PERSONORG,,,,,,,,1,,,,,,,Ernest L. Boyer,2,,,2,,,,pobj,,0,,,,,,,,1143,3,,,,
,,,,1,the Advancement of Teaching,,,,,,PERSON,,,,,WRK,,,,,,3,9,PROPN,8,,nsubj,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"It 's a political problem , ' ' said Ernest L. Boyer , a national spokesman for reform and president of the Carnegie Foundation for the Advancement of Teaching , which has produced several reports on urban school problems .",,,,,,,,ORG,,,,,,,,,,,PERSONORG,,,,,,,,1,,,,,,,Ernest L. Boyer,3,,,3,,,,pobj,,0,,,,,,,,1143,3,,,,
,,,,,the Advancement of Teaching,,,,,,ORG,,,,,NON,,,,,,1,3,PROPN,2,,pobj,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"It 's a political problem , ' ' said Ernest L. Boyer , a national spokesman for reform and president of the Carnegie Foundation for the Advancement of Teaching , which has produced several reports on urban school problems .",,,,,,,,ORG,,,,,,,,,,,ORGORG,,,,,,,,,,,,,,,the Carnegie Foundation,1,,,1,,,,pobj,,0,,,,,,,,1143,,,,,
,,,,,the Carnegie Foundation,,,,,,ORG,,,,,NON,,,,,,,3,PROPN,0,,pobj,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,"It 's a political problem , ' ' said Ernest L. Boyer , a national spokesman for reform and president of the Carnegie Foundation for the Advancement of Teaching , which has produced several reports on urban school problems .",1,,,,,,,ORG,,,,,,,,,,,ORGORG,,,,,,,,,,,,1,,,the Advancement of Teaching,,,,,,,,pobj,,2,,,,,,,,1143,,,,,
,,,,,Rochester,,,,,,PERSON,,,,,LIV,,,,,,,2,PROPN,1,,nsubj,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,"Rochester 's Peter McWalters , named in 1986 , signaled willingness to form a working partnership with teachers .",,,,,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,,,,Peter McWalters,,,,,,,,poss,,0,,,,,,,,1145,,,,,
,,,,,Pittsburgh,,,,,,PERSON,,,,,LIV,,,,,,,3,NOUN,1,,appos,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,"Pittsburgh 's superintendent , Richard C. Wallace , who arrived in 1980 as an outsider to a city enmeshed in a bitter dispute over school desegregation , helped move the school system beyond that dispute and establish it as a national model of reform .",,,,,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,,,,Richard C. Wallace,,,,,,,,poss,,1,,,,,,,,1147,,,,,
,,,,,Florida,,,,,,PERSON,,,,,LIV,,,,,,,4,AUX,1,,appos,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"` ` The thing to remember is Florida had an education governor , Bob Graham , and he made a substantial investment in schools long before other states were even thinking about reform. ' '",,,,,,1,,GPE,,,,,,,,1,,,PERSONGPE,,,,,1,,,,,,,,,,Bob Graham,,,,,,,,nsubj,,2,,,,,,,,1149,,,,,
,,,,,Louisiana,,,,,,PERSON,,,,,LIV,,,,,,,3,NOUN,1,,appos,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,"Still , many are encouraged by the election last year of Louisiana 's reform-minded governor , Buddy Roemer , a property tax increase last April , and a new , expanded school board .",,,,,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,,,,Buddy Roemer,,,,,,,,poss,,1,,,,,,,,1153,,,,,
,,,,,AP,,,,,,PERSON,,,,,WRK,,,,,,1,5,VERB,3,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,Lee Mitgang has covered education for the AP since 1981 .,,,,,,,,ORG,,,,,,,,,,,PERSONORG,,,,,,1,,,,,,,,,Lee Mitgang,1,,,1,,,,pobj,,1,,,1,,,,,1157,1,,,,
,,,,,AP,,,,,,DATE,,,,,NON,,,,,,1,6,VERB,3,,pobj,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,Lee Mitgang has covered education for the AP since 1981 .,1,,,,,,,ORG,,,,,,,,,,,DATEORG,,,,,,1,,,,,,1,,,1981,1,,,1,,,,pobj,,2,,,,,,,,1157,1,,,,
,,,,,the White House,,1,,1,,PERSON,,,,,LIV,,,,,,1,8,VERB,6,,nsubj,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,"With exhilaration tempered by ` ` this deficit looming over everything , ' ' Bush takes office at noon Friday , convinced there is neither a need nor a mandate for dramatic change to put his imprint on the White House .",,1,1,,,,,FAC,,,,1,,,,,,,PERSONFAC,,,,,,,,,,,,,1,,Bush,1,,,1,,,,pobj,,1,,,1,,,,,1163,1,,,,
,,,,,The Associated Press,,,,,,PERSON,,,,,WRK,,,,,,1,4,PROPN,3,,nsubj,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"EDITOR 'S NOTE : Walter R. Mears , vice and columnist for The Associated Press , has reported on Washington and national politics for more than 25 years .",,,,,,,,ORG,,,,,,,,,,,PERSONORG,,,,,,,,1,,,,,,,Walter R. Mears,1,,,1,,,,pobj,,0,,,,,,,,1176,1,,,,
,,,,,Washington,,,,,,PERSON,,,,,NON,,,,,,1,4,VERB,2,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"EDITOR 'S NOTE : Walter R. Mears , vice and columnist for The Associated Press , has reported on Washington and national politics for more than 25 years .",,,,,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,,,,Walter R. Mears,1,,,1,,,,pobj,,1,,,1,,,,,1176,,,,,
,,,,,Washington,,,,,,ORG,,,,,NON,,,,,,1,7,VERB,2,,pobj,,,,1,,,,,,,,2,,,,1,,,,,,,,,,,,1,,,"EDITOR 'S NOTE : Walter R. Mears , vice and columnist for The Associated Press , has reported on Washington and national politics for more than 25 years .",1,,,,,,,GPE,,,,,,,,1,,,ORGGPE,,,,,,,,,,,,1,,,The Associated Press,1,,,1,,,,pobj,,4,,,1,,,,,1176,,,,,
,,,,,The Associated Press,,,,,,DATE,,,,,NON,,,,,,1,7,VERB,4,,pobj,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,2,,,"EDITOR 'S NOTE : Walter R. Mears , vice and columnist for The Associated Press , has reported on Washington and national politics for more than 25 years .",1,,,,,1,,ORG,,,,,,,,,,,DATEORG,,,,,,,,1,,,,1,,,more than 25 years,1,,,1,,,,pobj,,2,,,,,,,,1176,1,,,,
,,,,,Federal Aviation Administration,,,,,,PERSON,,,,,WRK,,,2,,,,3,PROPN,2,,nsubj,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"` ` We think this is not a very likely scenario , but it 's a check that can be done very , very quickly without disrupting service , ' ' said Federal Aviation Administration spokesman John Leyden .",,,,,,,,ORG,,,,,,,,,,,PERSONORG,,,,,,,,,,,,,,,John Leyden,,,,,,,,compound,,0,,,,,,,,1193,1,,,,
,,,,,FAA,,,,,,PERSON,,,,,WRK,,,2,,,,3,PROPN,2,,nsubj,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"FAA Administrator Allan McArtor issued the order after the British Civil Aviation Authority ordered similar checks for three types of aircraft flown by British carriers , including the same two models of the 737 and the Airbus A320 .",,,,,,,,ORG,,,,,,,,,,,PERSONORG,,,,,,,,,,,,,,,Allan McArtor,,,,,,,,compound,,0,,,,,,,,1196,,,,,
,,,,,the British Civil Aviation Authority,,,,,,ORG,,,1,,NON,,,,,,,6,VERB,2,,compound,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,"FAA Administrator Allan McArtor issued the order after the British Civil Aviation Authority ordered similar checks for three types of aircraft flown by British carriers , including the same two models of the 737 and the Airbus A320 .",,,1,,,1,,ORG,,,,,,,,,,,ORGORG,,,,,,,,,,,,,,,FAA,,,,,,,,nsubj,,3,,,1,,,,,1196,,,2,,
,,,,,FAA,,,,,,ORG,,,,,NON,,,2,,,,6,VERB,3,,nsubj,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,3,,,"FAA Administrator Allan McArtor issued the order after the British Civil Aviation Authority ordered similar checks for three types of aircraft flown by British carriers , including the same two models of the 737 and the Airbus A320 .",,,,,,1,,ORG,,,,,,,,,1,,ORGORG,,,,,,,,,,,,,,,the British Civil Aviation Authority,,,,,,,,compound,,2,,,1,,,,,1196,,,,,
,,,,,British,,,,,,ORG,,,1,,NON,,,,,,2,11,VERB,7,,compound,,,,,,,,,,,,3,,,1,,,1,,,,,,,,,,,,,"FAA Administrator Allan McArtor issued the order after the British Civil Aviation Authority ordered similar checks for three types of aircraft flown by British carriers , including the same two models of the 737 and the Airbus A320 .",,,1,1,1,,,NORP,,,,,,,,,,,ORGNORP,,,,,,,,,,,,,,,FAA,2,,,1,,,,amod,1,3,,,1,,,,,1196,,2,2,,
,,,,,737,,,,,1,ORG,,,1,,NON,,,,,,4,14,VERB,10,1,compound,,,,,,,,,,,,3,,,1,,,1,,,,,,,,,,,,,"FAA Administrator Allan McArtor issued the order after the British Civil Aviation Authority ordered similar checks for three types of aircraft flown by British carriers , including the same two models of the 737 and the Airbus A320 .",,,1,,,,,FAC,,,,,,,,,,,ORGFAC,,,,,,,,,,,,,,,FAA,3,,,3,,,,pobj,1,3,,,1,,,,,1196,,3,2,,
,,,,1,Airbus,,,,,1,ORG,,,1,,NON,,,1,,,4,16,VERB,12,1,compound,,,,,,,,,,,,3,,,1,,,1,,,,,,,,,,2,,,"FAA Administrator Allan McArtor issued the order after the British Civil Aviation Authority ordered similar checks for three types of aircraft flown by British carriers , including the same two models of the 737 and the Airbus A320 .",,,1,,,,,ORG,,,,,,,,,,,ORGORG,,,,,,,,,,,,,,,FAA,3,,,3,,,,compound,1,3,,,1,,,,,1196,,3,2,,
,,,,,FAA,,,,,,ORG,,,,,NON,,,2,1,,,16,VERB,3,,compound,,,,,,,,3,,1,,2,,,,3,1,,,,,1,,,,,,3,1,,"FAA Administrator Allan McArtor issued the order after the British Civil Aviation Authority ordered similar checks for three types of aircraft flown by British carriers , including the same two models of the 737 and the Airbus A320 .",3,,,,,1,,ORG,,,,,,,,,1,,ORGORG,,,,,,,,,,,,4,,,Airbus,,,,,1,,,compound,,12,,,,,,,,1196,,,1,1,
,,,,,the British Civil Aviation Authority,,,,,,PERSON,,,1,,NON,,,,,,,4,VERB,2,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"FAA Administrator Allan McArtor issued the order after the British Civil Aviation Authority ordered similar checks for three types of aircraft flown by British carriers , including the same two models of the 737 and the Airbus A320 .",,,1,,,1,,ORG,,,,,,,,,,,PERSONORG,,,,,,,,,,,,,,,Allan McArtor,,,,,,,,nsubj,,1,,,1,,,,,1196,,,,,
,,,,,British,,,,,,PERSON,,,1,,NON,,,,,,2,9,VERB,7,,nsubj,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,"FAA Administrator Allan McArtor issued the order after the British Civil Aviation Authority ordered similar checks for three types of aircraft flown by British carriers , including the same two models of the 737 and the Airbus A320 .",,,1,1,1,,,NORP,,,,,,,,,,,PERSONNORP,,,,,,,,,,,,,,,Allan McArtor,2,,,1,,,,amod,1,1,,,1,,,,,1196,,2,,,
,,,,,737,,,,,1,PERSON,,,1,,NON,,,,,,4,12,VERB,10,1,nsubj,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,"FAA Administrator Allan McArtor issued the order after the British Civil Aviation Authority ordered similar checks for three types of aircraft flown by British carriers , including the same two models of the 737 and the Airbus A320 .",,,1,,,,,FAC,,,,,,,,,,,PERSONFAC,,,,,,,,,,,,,,,Allan McArtor,3,,,3,,,,pobj,1,1,,,1,,,,,1196,,3,,,
,,,,1,Airbus,,,,,1,PERSON,,,1,,NON,,,1,,,4,14,VERB,12,1,nsubj,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,2,,,"FAA Administrator Allan McArtor issued the order after the British Civil Aviation Authority ordered similar checks for three types of aircraft flown by British carriers , including the same two models of the 737 and the Airbus A320 .",,,1,,,,,ORG,,,,,,,,,,,PERSONORG,,,,,,,,,,,,,,,Allan McArtor,3,,,3,,,,compound,1,1,,,1,,,,,1196,,3,,,
,,,,,British,,,,,,ORG,,,,,NON,,,,,,2,8,VERB,6,,nsubj,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,"FAA Administrator Allan McArtor issued the order after the British Civil Aviation Authority ordered similar checks for three types of aircraft flown by British carriers , including the same two models of the 737 and the Airbus A320 .",,,,1,1,,,NORP,,,,,,,,,,,ORGNORP,,,,,,,,,,,,,,,the British Civil Aviation Authority,2,,,1,,,,amod,1,1,,,1,,,,,1196,,2,,,
,,,,,737,,,,,1,ORG,,,,,NON,,,,,,4,11,VERB,9,1,nsubj,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,"FAA Administrator Allan McArtor issued the order after the British Civil Aviation Authority ordered similar checks for three types of aircraft flown by British carriers , including the same two models of the 737 and the Airbus A320 .",,,,,,,,FAC,,,,,,,,,,,ORGFAC,,,,,,,,,,,,,,,the British Civil Aviation Authority,3,,,3,,,,pobj,1,1,,,1,,,,,1196,,3,,,
,,,,1,Airbus,,,,,1,ORG,,,,,NON,,,1,,,4,13,VERB,11,1,nsubj,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,2,,,"FAA Administrator Allan McArtor issued the order after the British Civil Aviation Authority ordered similar checks for three types of aircraft flown by British carriers , including the same two models of the 737 and the Airbus A320 .",,,,,,,,ORG,,,,,,,,,,,ORGORG,,,,,,,,,,,,,,,the British Civil Aviation Authority,3,,,3,,,,compound,1,1,,,1,,,,,1196,,3,,,
,,,,,the British Civil Aviation Authority,,,,,,ORG,,,,,NON,,,,1,,,13,VERB,1,,compound,,,,,,,,3,,1,,2,,,,3,1,,,,,,,,,,,1,1,,"FAA Administrator Allan McArtor issued the order after the British Civil Aviation Authority ordered similar checks for three types of aircraft flown by British carriers , including the same two models of the 737 and the Airbus A320 .",3,,,,,1,,ORG,,,,,,,,,,,ORGORG,,,,,,,,,,,,4,,,Airbus,,,,,1,,,nsubj,,11,,,,,,,,1196,,,1,1,
,,,,,British,,,,,,ORG,,,,,NON,,,,,,,8,NOUN,1,,compound,,,,,,,,1,,1,,2,,,,2,1,,,,,,,,,,,,1,,"FAA Administrator Allan McArtor issued the order after the British Civil Aviation Authority ordered similar checks for three types of aircraft flown by British carriers , including the same two models of the 737 and the Airbus A320 .",1,,,1,1,,,NORP,,,,,,,,,,,ORGNORP,,,,,,,,,,,,2,,,Airbus,,,,,,,,amod,,6,,,,,,,,1196,,,1,,
,,,,,737,,,,,,ORG,,,,,NON,,,,,,,3,NUM,0,,compound,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,"FAA Administrator Allan McArtor issued the order after the British Civil Aviation Authority ordered similar checks for three types of aircraft flown by British carriers , including the same two models of the 737 and the Airbus A320 .",,,,,,,,FAC,,,,,,,,,,,ORGFAC,,,,,,,,,,,,,,,Airbus,,,,,,,,pobj,,2,,,,,,,,1196,,,1,,
,,,,,Boeing Commercial Airplanes,,,,,,PERSON,,,,,WRK,,,2,,,,3,PROPN,2,,nsubj,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,"` ` We certainly believe it 's a prudent measure to go out and check to make sure there 's nothing wrong with the fleet , ' ' Boeing Commercial Airplanes spokesman Craig Martin said Wednesday in Seattle .",,,,,,,,ORG,,,,,,,,,,,PERSONORG,,,,,,,,,,,,,,,Craig Martin,,,,,,,,compound,,0,,,,,,,,1197,1,,,,
,,,,,Boeing Commercial Airplanes,,,,,,DATE,,,,,NON,,,2,,,,5,VERB,3,,npadvmod,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,1,,,"` ` We certainly believe it 's a prudent measure to go out and check to make sure there 's nothing wrong with the fleet , ' ' Boeing Commercial Airplanes spokesman Craig Martin said Wednesday in Seattle .",,,,,,1,,ORG,,,,,,,,,,,DATEORG,,,,,,,,,,,,,,,Wednesday,,,,,,,,compound,,1,,,,,,,,1197,1,,,,
,,,,,Seattle,,,,,,ORG,,,,,NON,,,,,,1,6,VERB,2,,compound,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"` ` We certainly believe it 's a prudent measure to go out and check to make sure there 's nothing wrong with the fleet , ' ' Boeing Commercial Airplanes spokesman Craig Martin said Wednesday in Seattle .",,,,,,,,GPE,,,,,,,,1,,,ORGGPE,,,,,,,,,,,1,,,,Boeing Commercial Airplanes,1,,,1,,,,pobj,,3,,,1,,,,,1197,,,2,,
,,,,,Seattle,,,,,,PERSON,,,,,NON,,,,,,1,4,VERB,2,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"` ` We certainly believe it 's a prudent measure to go out and check to make sure there 's nothing wrong with the fleet , ' ' Boeing Commercial Airplanes spokesman Craig Martin said Wednesday in Seattle .",,,,,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,,,,Craig Martin,1,,,1,,,,pobj,,1,,,1,,,,,1197,,,,,
,,,,,FAA,,,,,,PERSON,,,,,WRK,,,1,,,,3,PROPN,2,,nsubj,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Fred Farrar , another FAA spokesman , said airlines flying the 737-300s are Aloha , America West , American , Continental , Delta , Orion , Piedmont , Southwest , United and U.S. Air .",,,,,,,,ORG,,,,,,,,,,,PERSONORG,,,,,,,,1,,,,,,,Fred Farrar,,,,,,,,compound,,0,,,,,,,,1200,1,,,,
,,,,,Aloha,,,,,,PERSON,,,,,NON,,,,,,,4,VERB,2,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"Fred Farrar , another FAA spokesman , said airlines flying the 737-300s are Aloha , America West , American , Continental , Delta , Orion , Piedmont , Southwest , United and U.S. Air .",,1,,,,,,ORG,,,,,,,,,,,PERSONORG,,,,,,,,,,,,,1,1,Fred Farrar,,,,,,,,attr,,1,,,1,,,,,1200,,,,,
,,,,1,America West,,,,,,PERSON,,,,,NON,,,,,,,5,VERB,3,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,"Fred Farrar , another FAA spokesman , said airlines flying the 737-300s are Aloha , America West , American , Continental , Delta , Orion , Piedmont , Southwest , United and U.S. Air .",,1,,,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,,1,1,Fred Farrar,,,,,,,,conj,,1,,,1,,,,,1200,,,,,
,,,,2,American,,,,,,PERSON,,,,,NON,,,,,,,6,VERB,4,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,"Fred Farrar , another FAA spokesman , said airlines flying the 737-300s are Aloha , America West , American , Continental , Delta , Orion , Piedmont , Southwest , United and U.S. Air .",,1,,1,,,,NORP,,,,,,,,,,,PERSONNORP,,,,,,,,,,,,,1,1,Fred Farrar,,,,,,,,conj,,1,,,1,,,,,1200,,,,,
,,,,3,Continental,,,,,,PERSON,,,,,NON,,,,,,,7,VERB,5,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,"Fred Farrar , another FAA spokesman , said airlines flying the 737-300s are Aloha , America West , American , Continental , Delta , Orion , Piedmont , Southwest , United and U.S. Air .",,1,,1,,,,NORP,,,,,,,,,,,PERSONNORP,,,,,,,,,,,,,1,1,Fred Farrar,,,,,,,,conj,,1,,,1,,,,,1200,,,,,
,,,,4,Delta,,,,,,PERSON,,,,,NON,,,,,,,8,VERB,6,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4,,,"Fred Farrar , another FAA spokesman , said airlines flying the 737-300s are Aloha , America West , American , Continental , Delta , Orion , Piedmont , Southwest , United and U.S. Air .",,1,,1,,,,LOC,,,,,,,,,,,PERSONLOC,,,,,,,,,,,,,1,1,Fred Farrar,,,,,,,,conj,,1,,,1,,,,,1200,,,,,
,,,,5,Orion,,,,,,PERSON,,,,,NON,,,,,,,9,VERB,7,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5,,,"Fred Farrar , another FAA spokesman , said airlines flying the 737-300s are Aloha , America West , American , Continental , Delta , Orion , Piedmont , Southwest , United and U.S. Air .",,1,,1,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,,1,1,Fred Farrar,,,,,,,,conj,,1,,,1,,,,,1200,,,,,
,,,,6,Piedmont,,,,,,PERSON,,,,,NON,,,,,,,10,VERB,8,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,6,,,"Fred Farrar , another FAA spokesman , said airlines flying the 737-300s are Aloha , America West , American , Continental , Delta , Orion , Piedmont , Southwest , United and U.S. Air .",,1,,1,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,,1,1,Fred Farrar,,,,,,,,conj,,1,,,1,,,,,1200,,,,,
